date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:42	278823/278823	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Nov%202015%2020:28:31%20GMT	http://demo.mutationmedia.net/SPLIT/img/profile.jpg	//psf/Home/Documents/My%20Web%20Sites/cv1/demo.mutationmedia.net/SPLIT/img/profile.jpg	(from http://demo.mutationmedia.net/SPLIT/)
16:56:52	112744/112744	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Nov%202015%2020:30:48%20GMT	http://demo.mutationmedia.net/SPLIT/img/portfolio/5.jpg	//psf/Home/Documents/My%20Web%20Sites/cv1/demo.mutationmedia.net/SPLIT/img/portfolio/5.jpg	(from http://demo.mutationmedia.net/SPLIT/)
16:56:53	195507/195507	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Nov%202015%2020:30:45%20GMT	http://demo.mutationmedia.net/SPLIT/img/portfolio/4.jpg	//psf/Home/Documents/My%20Web%20Sites/cv1/demo.mutationmedia.net/SPLIT/img/portfolio/4.jpg	(from http://demo.mutationmedia.net/SPLIT/)
16:56:57	139681/139681	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Nov%202015%2020:30:55%20GMT	http://demo.mutationmedia.net/SPLIT/img/portfolio/6.jpg	//psf/Home/Documents/My%20Web%20Sites/cv1/demo.mutationmedia.net/SPLIT/img/portfolio/6.jpg	(from http://demo.mutationmedia.net/SPLIT/)
16:56:57	99002/99002	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Nov%202015%2020:30:56%20GMT	http://demo.mutationmedia.net/SPLIT/img/portfolio/7.jpg	//psf/Home/Documents/My%20Web%20Sites/cv1/demo.mutationmedia.net/SPLIT/img/portfolio/7.jpg	(from http://demo.mutationmedia.net/SPLIT/)
16:57:16	92331/92331	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Nov%202015%2020:30:28%20GMT	http://demo.mutationmedia.net/SPLIT/img/portfolio/11.jpg	//psf/Home/Documents/My%20Web%20Sites/cv1/demo.mutationmedia.net/SPLIT/img/portfolio/11.jpg	(from http://demo.mutationmedia.net/SPLIT/)
16:57:16	156295/156295	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Nov%202015%2020:31:04%20GMT	http://demo.mutationmedia.net/SPLIT/img/portfolio/8.jpg	//psf/Home/Documents/My%20Web%20Sites/cv1/demo.mutationmedia.net/SPLIT/img/portfolio/8.jpg	(from http://demo.mutationmedia.net/SPLIT/)
16:57:16	109205/109205	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Nov%202015%2020:30:22%20GMT	http://demo.mutationmedia.net/SPLIT/img/portfolio/10.jpg	//psf/Home/Documents/My%20Web%20Sites/cv1/demo.mutationmedia.net/SPLIT/img/portfolio/10.jpg	(from http://demo.mutationmedia.net/SPLIT/)
16:57:17	180914/180914	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Nov%202015%2020:31:08%20GMT	http://demo.mutationmedia.net/SPLIT/img/portfolio/9.jpg	//psf/Home/Documents/My%20Web%20Sites/cv1/demo.mutationmedia.net/SPLIT/img/portfolio/9.jpg	(from http://demo.mutationmedia.net/SPLIT/)
16:57:21	24745/24745	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Nov%202015%2020:27:13%20GMT	http://demo.mutationmedia.net/SPLIT/blog_single.html	//psf/Home/Documents/My%20Web%20Sites/cv1/demo.mutationmedia.net/SPLIT/blog_single.html	(from http://demo.mutationmedia.net/SPLIT/)
